fecha-hora  NombreArchivo
2022-11-28 13:37:59.883593 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 13:43:07.162255 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 13:57:07.551615 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 13:58:35.485522 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 13:58:57.497492 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:00:12.105673 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:04:20.796035 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:06:22.250366 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:09:28.583747 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:17:58.664186 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:21:04.214957 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:22:27.734885 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:23:19.078268 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:33:42.951818 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:34:40.910469 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:35:23.482989 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 14:36:09.130629 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:00:33.985387 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:15:07.040993 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:17:55.808251 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:24:09.653504 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:30:15.209765 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:32:53.955907 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:33:45.568877 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:36:10.753112 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:40:04.153567 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:41:58.114275 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:43:24.890273 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:44:26.794148 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:45:26.167811 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:47:42.069015 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:50:03.610233 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:53:00.126878 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:53:13.190423 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 15:53:59.444882 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:48:55.504692 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:50:37.913364 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:50:48.012210 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:51:35.848543 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:52:25.550167 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:53:22.825814 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-28 20:55:45.530583 ../ArchivosPrueba/Aguirreprueba.txt
2022-11-29 01:24:35.424742 GUI.py
2022-11-29 01:23:10.162628 GUI.py
2022-11-29 01:29:52.338554 GUI.py
2022-11-29 01:30:06.098832 GUI.py
2022-11-29 01:37:58.722858 GUI.py
2022-11-29 01:38:06.993652 GUI.py
2022-11-29 01:39:10.010515 GUI.py
2022-11-29 01:39:18.050805 GUI.py
2022-11-29 01:48:05.810931 GUI.py
2022-11-29 01:48:37.938556 GUI.py
2022-11-29 01:49:44.914255 GUI.py
2022-11-29 01:50:38.754591 GUI.py
2022-11-29 02:43:59.334998 GUI.py
2022-11-29 02:47:44.472226 GUI.py
2022-11-29 02:48:31.454271 GUI.py
2022-11-29 02:49:58.921849 GUI.py
2022-11-29 02:51:20.921367 GUI.py
2022-11-29 01:51:49.138578 GUI.py
2022-11-29 15:52:01.516962 GUI.py
2022-11-29 16:16:15.621006 GUI.py
2022-11-29 16:20:22.052322 GUI.py
2022-11-29 16:24:58.531952 GUI.py
2022-11-29 16:24:59.555630 GUI.py
2022-11-29 16:25:00.826913 GUI.py
2022-11-29 16:37:42.698315 GUI.py
2022-11-29 16:38:34.498148 GUI.py
2022-11-29 16:39:42.338104 GUI.py
2022-11-29 16:42:14.385740 GUI.py
2022-11-29 16:43:11.729764 GUI.py
2022-11-29 16:44:02.640992 GUI.py
2022-11-29 16:44:27.993559 GUI.py
2022-11-29 16:46:06.672344 GUI.py
2022-11-29 16:46:17.960302 GUI.py
2022-11-29 16:49:00.544658 GUI.py
2022-11-29 16:49:07.175960 GUI.py
2022-11-29 16:52:34.271479 GUI.py
2022-11-29 16:52:48.039456 GUI.py
2022-11-29 16:53:10.559937 GUI.py
2022-11-29 16:53:44.272219 GUI.py
2022-11-29 16:53:54.871358 GUI.py
2022-11-29 16:54:04.975353 GUI.py
2022-11-29 16:54:46.495230 GUI.py
2022-11-29 16:54:56.367156 GUI.py
2022-11-29 17:05:02.254972 GUI.py
2022-11-29 17:06:51.646277 GUI.py
2022-11-29 17:07:42.733459 GUI.py
2022-11-29 17:15:11.268486 GUI.py
2022-11-29 17:24:37.307405 GUI.py
2022-11-29 17:24:38.347408 GUI.py
2022-11-29 17:27:42.219027 GUI.py
2022-11-29 17:28:45.731832 GUI.py
2022-11-29 17:29:22.131799 GUI.py
2022-11-29 17:56:48.848568 GUI.py
2022-11-29 18:03:56.782592 GUI.py
2022-11-29 18:05:03.094249 GUI.py
2022-11-29 18:05:21.958644 GUI.py
2022-11-29 18:06:00.670548 GUI.py
2022-11-29 18:06:11.445985 GUI.py
2022-11-29 18:08:28.374279 GUI.py
